signal_id,strategy_id,ticker,entry_date,published_at,channel
STR-I-adaptive-trend_AMAT_2026-08-12,STR-I-adaptive-trend,AMAT,2026-08-12,2026-08-18T22:01:30.526033,stocks
STR-I-adaptive-trend_AMZN_2026-08-10,STR-I-adaptive-trend,AMZN,2026-08-10,2026-08-18T22:01:30.526156,stocks
STR-I-adaptive-trend_ANET_2026-08-12,STR-I-adaptive-trend,ANET,2026-08-12,2026-08-18T22:01:30.526229,stocks
STR-I-adaptive-trend_CIEN_2026-08-12,STR-I-adaptive-trend,CIEN,2026-08-12,2026-08-18T22:01:30.526289,stocks
STR-I-adaptive-trend_CVNA_2026-08-14,STR-I-adaptive-trend,CVNA,2026-08-14,2026-08-18T22:01:30.526348,stocks
STR-B-macd-histogram-divergence_GRMN_2026-08-14,STR-B-macd-histogram-divergence,GRMN,2026-08-14,2026-08-18T22:01:30.526404,stocks
STR-I-adaptive-trend_DELL_2026-08-12,STR-I-adaptive-trend,DELL,2026-08-12,2026-08-19T07:47:51.582614,stocks
STR-I-adaptive-trend_MPC_2026-08-19,STR-I-adaptive-trend,MPC,2026-08-19,2026-08-20T07:49:16.838602,stocks
STR-I-adaptive-trend_APA_2026-08-19,STR-I-adaptive-trend,APA,2026-08-19,2026-08-21T07:49:40.515918,stocks
STR-I-adaptive-trend_MRNA_2026-08-19,STR-I-adaptive-trend,MRNA,2026-08-19,2026-08-21T07:49:40.516097,stocks
STR-I-adaptive-trend_PSX_2026-08-19,STR-I-adaptive-trend,PSX,2026-08-19,2026-08-21T07:49:40.516192,stocks
STR-B-macd-histogram-divergence_APP_2026-08-21,STR-B-macd-histogram-divergence,APP,2026-08-21,2026-08-24T07:47:49.161697,stocks
STR-I-adaptive-trend_MRNA_2026-08-21,STR-I-adaptive-trend,MRNA,2026-08-21,2026-08-25T07:49:55.123253,stocks
STR-B-macd-histogram-divergence_PTC_2026-08-21,STR-B-macd-histogram-divergence,PTC,2026-08-21,2026-08-25T07:49:55.123404,stocks
STR-I-adaptive-trend_SMCI_2026-08-25,STR-I-adaptive-trend,SMCI,2026-08-25,2026-08-26T07:50:05.495517,stocks
STR-B-macd-histogram-divergence_NOW_2026-08-24,STR-B-macd-histogram-divergence,NOW,2026-08-24,2026-08-26T07:50:05.495678,stocks
